YEAR_MONTH,"REGIONAL_OFFICE_NAME","REGIONAL_OFFICE_CODE","ICB_NAME","ICB_CODE","PCO_NAME","PCO_CODE","PRACTICE_NAME","PRACTICE_CODE","ADDRESS_1","ADDRESS_2","ADDRESS_3","ADDRESS_4","POSTCODE","BNF_CHEMICAL_SUBSTANCE","CHEMICAL_SUBSTANCE_BNF_DESCR","BNF_CODE","BNF_DESCRIPTION","BNF_CHAPTER_PLUS_CODE",QUANTITY,ITEMS,TOTAL_QUANTITY,ADQUSAGE,NIC,ACTUAL_COST,"UNIDENTIFIED"
202301,"MIDLANDS","Y60","NHS BLACK COUNTRY INTEGRATED CARE BOARD","QUA","NHS BLACK COUNTRY ICB - D2P2L","D2P2L","LOCKFIELD SURGERY","M91013","WILLENHALL HEALTH CENTRE","GOMER STREET","WILLENHALL","WEST MIDLANDS","WV13 2DR","0301011E0","Formoterol fumarate","0301011E0AAACAC","Formoterol 12micrograms/dose dry powder inhaler","03: Respiratory System","1.",2,"2.",0,"49.6","46.49563","N"
202301,"MIDLANDS","Y60","NHS BLACK COUNTRY INTEGRATED CARE BOARD","QUA","NHS BLACK COUNTRY ICB - D2P2L","D2P2L","LOCKFIELD SURGERY","M91013","WILLENHALL HEALTH CENTRE","GOMER STREET","WILLENHALL","WEST MIDLANDS","WV13 2DR","0301011R0","Salbutamol","0301011R0BWAABZ","Easyhaler Salbutamol sulfate 100micrograms/dose dry pdr inh","03: Respiratory System","1.",23,"23.",1150,"76.13","71.6123","N"
202301,"MIDLANDS","Y60","NHS BLACK COUNTRY INTEGRATED CARE BOARD","QUA","NHS BLACK COUNTRY ICB - D2P2L","D2P2L","LOCKFIELD SURGERY","M91013","WILLENHALL HEALTH CENTRE","GOMER STREET","WILLENHALL","WEST MIDLANDS","WV13 2DR","0301011R0","Salbutamol","0301011R0BWAABZ","Easyhaler Salbutamol sulfate 100micrograms/dose dry pdr inh","03: Respiratory System","2.",4,"8.",400,"26.48","24.85902","N"
202301,"MIDLANDS","Y60","NHS BLACK COUNTRY INTEGRATED CARE BOARD","QUA","NHS BLACK COUNTRY ICB - D2P2L","D2P2L","LOCKFIELD SURGERY","M91013","WILLENHALL HEALTH CENTRE","GOMER STREET","WILLENHALL","WEST MIDLANDS","WV13 2DR","0301011R0","Salbutamol","0301011R0BWAABAQ","Easyhaler Salbutamol sulfate 200micrograms/dose dry pdr inh","03: Respiratory System","1.",1,"1.",100,"6.63","6.22413","N"
202301,"MIDLANDS","Y60","NHS BLACK COUNTRY INTEGRATED CARE BOARD","QUA","NHS BLACK COUNTRY ICB - D2P2L","D2P2L","LOCKFIELD SURGERY","M91013","WILLENHALL HEALTH CENTRE","GOMER STREET","WILLENHALL","WEST MIDLANDS","WV13 2DR","0302000C0","Beclometasone dipropionate","0302000C0BPABBF","Clenil Modulite 100micrograms/dose inhaler","03: Respiratory System","1.",23,"23.",2300,"170.66","160.17857","N"
202301,"NORTH EAST AND YORKSHIRE","Y63","NHS WEST YORKSHIRE INTEGRATED CARE BOARD","QWO","NHS WEST YORKSHIRE ICB - X2C4Y","X2C4Y","THE LINDLEY VILLAGE SURG.","B85033","THE LINDLEY VILLAGE SURG","THOMAS STREET","LINDLEY, HUDDERSFIELD","WEST YORKSHIRE","HD3 3JD","0205040D0","Doxazosin mesilate","0205040D0AAACAC","Doxazosin 4mg tablets","02: Cardiovascular System","28.",2,"56.",56,"1.82","1.72998","N"
202301,"MIDLANDS","Y60","NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEG","QT1","NHS NOTTINGHAM AND NOTTINGHAMSHIRE ICB -","52R00","OAKENHALL MEDICAL PRACT","C84095","OAKENHALL MEDICAL PRACT","BOLSOVER STREET","HUCKNALL,NOTTINGHAM","NOTTINGHAMSHIRE","NG15 7UA","0106020I0","Docusate sodium","0106020I0AAAKAK","Docusate 100mg capsules","01: Gastro-Intestinal System","100.",4,"400.",200,"27.88","26.5707","N"
202301,"NORTH EAST AND YORKSHIRE","Y63","NHS WEST YORKSHIRE INTEGRATED CARE BOARD","QWO","NHS WEST YORKSHIRE ICB - 15F","15F00","BURTON CROFT SURGERY","B86030","BURTON CROFT SURGERY","1 SHIRE OAK ST,HEADINGLEY","LEEDS","WEST YORKSHIRE","LS6 2AF","0106020L0","Glycerol","0106020L0AAACAC","Glycerol 4g suppositories","01: Gastro-Intestinal System","12.",1,"12.",8.4,"3.31","3.11358","N"
202301,"NORTH WEST","Y62","NHS CHESHIRE AND MERSEYSIDE INTEGRATED C","QYG","NHS CHESHIRE AND MERSEYSIDE ICB - 27D","27D00","WILLOW WOOD SURGERY","N81123","WILLOW WOOD SURGERY","WHARTON PHC","CROOK LANE, WHARTON","WINSFORD, CHESHIRE","CW7 3GY","0109010U0","Ursodeoxycholic acid","0109010U0AAABAB","Ursodeoxycholic acid 250mg capsules","01: Gastro-Intestinal System","240.",1,"240.",0,"39.8","37.30149","N"
202301,"SOUTH EAST","Y59","NHS SUSSEX INTEGRATED CARE BOARD","QNX","NHS SUSSEX ICB - 70F","70F00","FITZALAN MEDICAL GROUP","H82066","FITZALAN MEDICAL GROUP","FITZALAN MC,FITZALAN ROAD","LITTLEHAMPTON","WEST SUSSEX","BN17 5JR","2122","Emollients","21220000219","Fifty:50 ointment","21: Appliances","500.",1,"500.",0,"3.92","3.68509","N"
202301,"LONDON","Y56","NHS NORTH CENTRAL LONDON INTEGRATED CARE","QMJ","NHS NORTH CENTRAL LONDON ICB - 93C","93C00","THE OLD COURT HOUSE SURGERY","E83012","THE OLD COURT HOUSE","27 WOOD STREET","BARNET","HERTFORDSHIRE","EN5 4BB","0913011N0","Ready to serve 1.5 kcal/ml milkshake (0913011)","0913011N0BEAAAA","Ensure Plus milkshake style liquid (9 flavours)","09: Nutrition and Blood","2200.",6,"13200.",0,"77.88","73.04109","N"
